datetime,temp,dew,humidity,precip,precipcover,preciptype,uvindex
2019-05-26 0:00:00.0000,72.9,53.5,54.7,0.257,12.5,rain,9
2019-05-27 0:00:00.0000,65.7,52.3,63.2,0,0,,10
2019-05-28 0:00:00.0000,56.6,45.3,67.7,0.296,41.67,rain,3
2019-05-29 0:00:00.0000,51.9,46.3,81.3,0.012,4.17,rain,2
2019-05-30 0:00:00.0000,57.6,51.1,78.9,0.012,4.17,rain,4
2019-05-31 0:00:00.0000,62.8,53.8,73.6,0.293,12.5,rain,7
2019-06-01 0:00:00.0000,59.2,54.3,84.1,0,0,,8
2019-06-02 0:00:00.0000,56.7,53.1,87.7,0.007,8.33,rain,8
2019-06-03 0:00:00.0000,64.3,38.7,43.6,0.083,16.67,rain,9
2019-06-04 0:00:00.0000,63.6,36.5,37.9,0,0,,9
2019-06-05 0:00:00.0000,72.3,53.4,52.4,0,0,,8
2019-06-06 0:00:00.0000,68.5,61.7,78.9,0.067,16.67,rain,9
2019-06-07 0:00:00.0000,68.9,52.5,57.1,0,0,,9
2019-06-08 0:00:00.0000,67.7,50.3,54.4,0,0,,10
2019-06-09 0:00:00.0000,67.9,46.4,47.4,0,0,,10
2019-06-10 0:00:00.0000,66,52.3,62,0,0,,9
2019-06-11 0:00:00.0000,70.9,59.2,70.4,0.683,54.17,rain,5
2019-06-12 0:00:00.0000,67.5,45,45.4,0,0,,9
2019-06-13 0:00:00.0000,57.3,50.7,79.3,0.623,45.83,rain,2
2019-06-14 0:00:00.0000,64.8,50.5,63.2,0.001,4.17,rain,9
2019-06-15 0:00:00.0000,72.8,47.5,42.1,0,0,,10
2019-06-16 0:00:00.0000,68.1,60.3,77.4,0.121,33.33,rain,2
2019-06-17 0:00:00.0000,69.5,58.9,70.5,0,0,,8
2019-06-18 0:00:00.0000,66.2,61.5,84.9,0.104,16.67,rain,2
2019-06-19 0:00:00.0000,65.6,60.7,84.5,0,0,,7
2019-06-20 0:00:00.0000,66.5,63.2,89.1,0.361,20.83,rain,1
2019-06-21 0:00:00.0000,67.8,59.9,76.9,1.136,29.17,rain,3
